2026-06-17 00:07:26 | INFO    | src.scraper.realtor_scraper | [realtor] fetching Camden County, NJ
2026-06-17 00:07:26 | WARNING | src.scraper.base_scraper | [realtor] blocked (HTTP 429) on https://www.realtor.com/realestateandhomes-search/Camden-County_NJ/pg-1
2026-06-17 00:07:26 | WARNING | src.scraper.orchestrator | [realtor] blocked on Camden — falling over: realtor blocked: HTTP 429
2026-06-17 00:07:26 | INFO    | src.scraper.redfin_scraper | [redfin] fetching Camden County, NJ
2026-06-17 00:07:27 | WARNING | src.scraper.base_scraper | [redfin] blocked (HTTP 403) on https://www.redfin.com/stingray/do/location-autocomplete
2026-06-17 00:07:27 | WARNING | src.scraper.orchestrator | [redfin] blocked on Camden — falling over: redfin blocked: HTTP 403
2026-06-17 00:07:27 | ERROR   | src.scraper.orchestrator | ALL sources failed for Camden (last error: redfin blocked: HTTP 403)
2026-06-17 00:07:27 | INFO    | src.scraper.zillow_scraper | [zillow] fetching Cape May County, NJ
2026-06-17 00:07:28 | WARNING | src.scraper.base_scraper | [zillow] blocked (HTTP 403) on https://www.zillow.com/search/GetSearchPageState.htm?searchQueryState=%7B%22usersSearchTerm%22%3A+%22Cape+May+County+NJ%22%2C+%22filterState%22%3A+%7B%22sortSelection%22%3A+%7B%22value%22%3A+%22globalrelevanceex%22%7D%7D%2C+%22isListVisible%22%3A+true%2C+%22pagination%22%3A+%7B%22currentPage%22%3A+1%7D%7D&wants=%7B%22cat1%22%3A+%5B%22listResults%22%5D%7D&requestId=1
2026-06-17 00:07:28 | WARNING | src.scraper.orchestrator | [zillow] blocked on Cape May — falling over: zillow blocked: HTTP 403
2026-06-17 00:07:28 | INFO    | src.scraper.realtor_scraper | [realtor] fetching Cape May County, NJ
2026-06-17 00:07:29 | WARNING | src.scraper.base_scraper | [realtor] blocked (HTTP 429) on https://www.realtor.com/realestateandhomes-search/Cape-May-County_NJ/pg-1
2026-06-17 00:07:29 | WARNING | src.scraper.orchestrator | [realtor] blocked on Cape May — falling over: realtor blocked: HTTP 429
2026-06-17 00:07:29 | INFO    | src.scraper.redfin_scraper | [redfin] fetching Cape May County, NJ
2026-06-17 00:07:29 | WARNING | src.scraper.base_scraper | [redfin] blocked (HTTP 403) on https://www.redfin.com/stingray/do/location-autocomplete
2026-06-17 00:07:29 | WARNING | src.scraper.orchestrator | [redfin] blocked on Cape May — falling over: redfin blocked: HTTP 403
2026-06-17 00:07:29 | ERROR   | src.scraper.orchestrator | ALL sources failed for Cape May (last error: redfin blocked: HTTP 403)
2026-06-17 00:07:29 | INFO    | src.scraper.zillow_scraper | [zillow] fetching Cumberland County, NJ
2026-06-17 00:07:33 | WARNING | src.scraper.base_scraper | [zillow] blocked (HTTP 403) on https://www.zillow.com/search/GetSearchPageState.htm?searchQueryState=%7B%22usersSearchTerm%22%3A+%22Cumberland+County+NJ%22%2C+%22filterState%22%3A+%7B%22sortSelection%22%3A+%7B%22value%22%3A+%22globalrelevanceex%22%7D%7D%2C+%22isListVisible%22%3A+true%2C+%22pagination%22%3A+%7B%22currentPage%22%3A+1%7D%7D&wants=%7B%22cat1%22%3A+%5B%22listResults%22%5D%7D&requestId=1
